"Subject_Activity" "variable" "means"
"10_LAYING" "tBodyAcc_mean_X" 0.273126296146825
"10_LAYING" "tBodyAcc_mean_Y" -0.0189036693710317
"10_LAYING" "tBodyAcc_mean_Z" -0.112518750051587
"10_LAYING" "tBodyAcc_std_X" -0.96302957202381
"10_LAYING" "tBodyAcc_std_Y" -0.960090185833333
"10_LAYING" "tBodyAcc_std_Z" -0.965458092619048
"10_LAYING" "tGravityAcc_mean_X" -0.434260580174603
"10_LAYING" "tGravityAcc_mean_Y" 0.546618171071429
"10_LAYING" "tGravityAcc_mean_Z" 0.442749554044444
"10_LAYING" "tGravityAcc_std_X" -0.949018489722222
"10_LAYING" "tGravityAcc_std_Y" -0.980559891507937
"10_LAYING" "tGravityAcc_std_Z" -0.96790060425
"10_LAYING" "tBodyAccJerk_mean_X" 0.0791104322511905
"10_LAYING" "tBodyAccJerk_mean_Y" 0.0101892269468651
"10_LAYING" "tBodyAccJerk_mean_Z" -0.000413168654809524
"10_LAYING" "tBodyAccJerk_std_X" -0.981437456865079
"10_LAYING" "tBodyAccJerk_std_Y" -0.969904718214286
"10_LAYING" "tBodyAccJerk_std_Z" -0.983656633452381
"10_LAYING" "tBodyGyro_mean_X" -0.0232897175956746
"10_LAYING" "tBodyGyro_mean_Y" -0.0878714466061111
"10_LAYING" "tBodyGyro_mean_Z" 0.11823307590873
"10_LAYING" "tBodyGyro_std_X" -0.974674602261905
"10_LAYING" "tBodyGyro_std_Y" -0.961790232103175
"10_LAYING" "tBodyGyro_std_Z" -0.969353381269841
"10_LAYING" "tBodyGyroJerk_mean_X" -0.0997922510936508
"10_LAYING" "tBodyGyroJerk_mean_Y" -0.0385736979421825
"10_LAYING" "tBodyGyroJerk_mean_Z" -0.0624175418968254
"10_LAYING" "tBodyGyroJerk_std_X" -0.976955356309524
"10_LAYING" "tBodyGyroJerk_std_Y" -0.978603672738095
"10_LAYING" "tBodyGyroJerk_std_Z" -0.983687096746032
"10_LAYING" "tBodyAccMag_mean" -0.958864134166667
"10_LAYING" "tBodyAccMag_std" -0.948112586547619
"10_LAYING" "tGravityAccMag_mean" -0.958864134166667
"10_LAYING" "tGravityAccMag_std" -0.948112586547619
"10_LAYING" "tBodyAccJerkMag_mean" -0.980762543055556
"10_LAYING" "tBodyAccJerkMag_std" -0.975998593134921
"10_LAYING" "tBodyGyroMag_mean" -0.947098648769841
"10_LAYING" "tBodyGyroMag_std" -0.947835583293651
"10_LAYING" "tBodyGyroJerkMag_mean" -0.981144371984127
"10_LAYING" "tBodyGyroJerkMag_std" -0.975317249801587
"10_LAYING" "fBodyAcc_mean_X" -0.969242373333333
"10_LAYING" "fBodyAcc_mean_Y" -0.962556902539683
"10_LAYING" "fBodyAcc_mean_Z" -0.972106882142857
"10_LAYING" "fBodyAcc_std_X" -0.961015259246032
"10_LAYING" "fBodyAcc_std_Y" -0.960916664837302
"10_LAYING" "fBodyAcc_std_Z" -0.964087334575397
"10_LAYING" "fBodyAccJerk_mean_X" -0.981624887142857
"10_LAYING" "fBodyAccJerk_mean_Y" -0.970731604761905
"10_LAYING" "fBodyAccJerk_mean_Z" -0.98107211297619
"10_LAYING" "fBodyAccJerk_std_X" -0.982965545476191
"10_LAYING" "fBodyAccJerk_std_Y" -0.971133898849206
"10_LAYING" "fBodyAccJerk_std_Z" -0.984858417460317
"10_LAYING" "fBodyGyro_mean_X" -0.968895916785714
"10_LAYING" "fBodyGyro_mean_Y" -0.966842396190476
"10_LAYING" "fBodyGyro_mean_Z" -0.968423549523809
"10_LAYING" "fBodyGyro_std_X" -0.976723782023809
"10_LAYING" "fBodyGyro_std_Y" -0.959682332420635
"10_LAYING" "fBodyGyro_std_Z" -0.972508114206349
